dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airfoil.csv,2,0.0001,0.001,40.0968,4,1,30
airfoil.csv,2,0.0002,0.001,40.0968,4,1,30
airfoil.csv,2,0.0005,0.001,40.0968,4,1,30
airfoil.csv,2,0.001,0.001,40.0968,4,1,30
airfoil.csv,2,0.002,0.002,40.0968,4,1,30
airfoil.csv,2,0.003,0.0,40.0968,4,1,30
airfoil.csv,2,0.004,0.001,40.0968,4,1,30
airfoil.csv,2,0.005,0.001,40.0968,4,1,30
airfoil.csv,2,0.006,0.001,40.0968,4,1,30
airfoil.csv,2,0.007,0.001,40.0968,4,1,30
airfoil.csv,2,0.008,0.001,40.0968,4,1,30
airfoil.csv,2,0.009000000000000001,0.001,40.0968,4,1,30
airfoil.csv,2,0.01,0.001,40.0968,4,1,30
airfoil.csv,2,0.035,0.001,40.0968,4,1,30
airfoil.csv,2,0.060000000000000005,0.001,40.0968,4,1,30
airfoil.csv,2,0.085,0.001,40.0968,4,1,30
airfoil.csv,2,0.1,0.001,40.0968,4,1,30
airfoil.csv,2,0.2,0.001,40.0968,4,1,30
airfoil.csv,2,0.5,0.001,40.0968,4,1,30
airfoil.csv,3,0.0001,0.003,37.3133,8,34,30
airfoil.csv,3,0.0002,0.003,37.3133,8,34,30
airfoil.csv,3,0.0005,0.002,37.3133,8,34,30
airfoil.csv,3,0.001,0.003,37.3133,8,34,30
airfoil.csv,3,0.002,0.003,37.3133,8,34,30
airfoil.csv,3,0.003,0.003,37.3133,8,34,30
airfoil.csv,3,0.004,0.003,37.3133,8,34,30
airfoil.csv,3,0.005,0.003,37.3133,8,34,30
airfoil.csv,3,0.006,0.003,37.3133,8,34,30
airfoil.csv,3,0.007,0.003,37.3133,8,34,30
airfoil.csv,3,0.008,0.003,37.3133,8,34,30
airfoil.csv,3,0.009000000000000001,0.004,37.3133,8,34,30
airfoil.csv,3,0.01,0.003,37.3133,8,34,30
airfoil.csv,3,0.035,0.003,37.3133,8,34,30
airfoil.csv,3,0.060000000000000005,0.003,37.3133,8,34,30
airfoil.csv,3,0.085,0.003,37.3133,8,34,30
airfoil.csv,3,0.1,0.003,37.3133,8,34,30
airfoil.csv,3,0.2,0.002,37.3133,8,34,30
airfoil.csv,3,0.5,0.003,37.5152,7,34,30
airfoil.csv,4,0.0001,0.025,33.8628,16,467,30
airfoil.csv,4,0.0002,0.026,33.8628,16,467,30
airfoil.csv,4,0.0005,0.025,33.8628,16,467,30
airfoil.csv,4,0.001,0.026,33.8628,16,467,30
airfoil.csv,4,0.002,0.025,33.8628,16,467,30
airfoil.csv,4,0.003,0.026,33.8628,16,467,30
airfoil.csv,4,0.004,0.025,33.8628,16,467,30
airfoil.csv,4,0.005,0.025,33.8628,16,467,30
airfoil.csv,4,0.006,0.026,33.8628,16,467,30
airfoil.csv,4,0.007,0.026,33.8628,16,467,30
airfoil.csv,4,0.008,0.026,33.8628,16,467,30
airfoil.csv,4,0.009000000000000001,0.026,33.8628,16,467,30
airfoil.csv,4,0.01,0.026,33.8716,15,467,30
airfoil.csv,4,0.035,0.026,33.9022,14,467,30
airfoil.csv,4,0.060000000000000005,0.026,33.9022,14,467,30
airfoil.csv,4,0.085,0.026,33.9022,14,468,30
airfoil.csv,4,0.1,0.025,33.9022,14,468,30
airfoil.csv,4,0.2,0.025,34.4367,11,470,30
airfoil.csv,4,0.5,0.026,35.9147,8,470,30
airfoil.csv,5,0.0001,0.156,28.6272,31,3371,30
airfoil.csv,5,0.0002,0.165,28.6272,31,3371,30
airfoil.csv,5,0.0005,0.165,28.6272,31,3371,30
airfoil.csv,5,0.001,0.169,28.6272,31,3374,30
airfoil.csv,5,0.002,0.165,28.6272,31,3376,30
airfoil.csv,5,0.003,0.173,28.6272,31,3376,30
airfoil.csv,5,0.004,0.168,28.6272,31,3378,30
airfoil.csv,5,0.005,0.167,28.6272,31,3379,30
airfoil.csv,5,0.006,0.165,28.6272,31,3379,30
airfoil.csv,5,0.007,0.163,28.6272,31,3383,30
airfoil.csv,5,0.008,0.166,28.6343,30,3384,30
airfoil.csv,5,0.009000000000000001,0.176,28.6343,30,3383,30
airfoil.csv,5,0.01,0.162,28.6432,29,3382,30
airfoil.csv,5,0.035,0.16,28.7133,25,3410,30
airfoil.csv,5,0.060000000000000005,0.16,28.7675,24,3455,30
airfoil.csv,5,0.085,0.166,28.8338,23,3463,30
airfoil.csv,5,0.1,0.164,28.8338,23,3470,30
airfoil.csv,5,0.2,0.166,29.5039,18,3540,30
airfoil.csv,5,0.5,0.162,31.171,13,3510,30
airfoil.csv,6,0.0001,0.745,25.9203,54,16757,30
airfoil.csv,6,0.0002,0.749,25.9203,54,16759,30
airfoil.csv,6,0.0005,0.744,25.9203,54,16758,30
airfoil.csv,6,0.001,0.745,25.9206,53,16759,30
airfoil.csv,6,0.002,0.746,25.9222,51,16794,30
