dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
airquality.csv,2,0.0001,0.0,392.579,4,1,30
airquality.csv,2,0.0002,0.0,392.579,4,1,30
airquality.csv,2,0.0005,0.0,392.579,4,1,30
airquality.csv,2,0.001,0.0,392.579,4,1,30
airquality.csv,2,0.002,0.0,392.579,4,1,30
airquality.csv,2,0.003,0.0,392.579,4,1,30
airquality.csv,2,0.004,0.0,392.579,4,1,30
airquality.csv,2,0.005,0.0,392.579,4,1,30
airquality.csv,2,0.006,0.0,392.579,4,1,30
airquality.csv,2,0.007,0.0,392.579,4,1,30
airquality.csv,2,0.008,0.0,392.579,4,1,30
airquality.csv,2,0.009000000000000001,0.0,392.579,4,1,30
airquality.csv,2,0.01,0.0,392.579,4,1,30
airquality.csv,2,0.035,0.0,392.579,4,1,30
airquality.csv,2,0.060000000000000005,0.0,392.579,4,1,30
airquality.csv,2,0.085,0.0,471.525,3,1,30
airquality.csv,2,0.1,0.0,471.525,3,1,30
airquality.csv,2,0.2,0.0,681.333,2,1,30
airquality.csv,2,0.5,0.0,1097.31,1,1,30
airquality.csv,3,0.0001,0.001,254.256,8,32,30
airquality.csv,3,0.0002,0.001,254.256,8,32,30
airquality.csv,3,0.0005,0.001,254.256,8,32,30
airquality.csv,3,0.001,0.001,254.256,8,32,30
airquality.csv,3,0.002,0.001,256.377,7,32,30
airquality.csv,3,0.003,0.001,256.377,7,32,30
airquality.csv,3,0.004,0.001,256.377,7,32,30
airquality.csv,3,0.005,0.001,256.377,7,32,30
airquality.csv,3,0.006,0.001,262.66,6,32,30
airquality.csv,3,0.007,0.001,262.66,6,32,30
airquality.csv,3,0.008,0.001,262.66,6,32,30
airquality.csv,3,0.009000000000000001,0.001,262.66,6,32,30
airquality.csv,3,0.01,0.001,262.66,6,32,30
airquality.csv,3,0.035,0.001,296.814,5,32,30
airquality.csv,3,0.060000000000000005,0.001,296.814,5,32,30
airquality.csv,3,0.085,0.001,471.525,3,32,30
airquality.csv,3,0.1,0.001,471.525,3,32,30
airquality.csv,3,0.2,0.001,681.333,2,32,30
airquality.csv,3,0.5,0.001,1097.31,1,30,30
airquality.csv,4,0.0001,0.01,164.022,16,422,30
airquality.csv,4,0.0002,0.009,164.022,16,422,30
airquality.csv,4,0.0005,0.009,164.022,16,421,30
airquality.csv,4,0.001,0.009,164.022,16,421,30
airquality.csv,4,0.002,0.009,164.022,16,421,30
airquality.csv,4,0.003,0.009,166.505,15,421,30
airquality.csv,4,0.004,0.009,179.234,12,421,30
airquality.csv,4,0.005,0.009,179.234,12,420,30
airquality.csv,4,0.006,0.009,197.771,9,415,30
airquality.csv,4,0.007,0.009,197.771,9,415,30
airquality.csv,4,0.008,0.009,213.347,7,416,30
airquality.csv,4,0.009000000000000001,0.009,213.347,7,416,30
airquality.csv,4,0.01,0.009,213.347,7,416,30
airquality.csv,4,0.035,0.009,247.501,6,382,30
airquality.csv,4,0.060000000000000005,0.008,296.814,5,358,30
airquality.csv,4,0.085,0.009,471.525,3,344,30
airquality.csv,4,0.1,0.008,471.525,3,338,30
airquality.csv,4,0.2,0.008,681.333,2,311,30
airquality.csv,4,0.5,0.002,1097.31,1,6,30
airquality.csv,5,0.0001,0.062,68.7011,32,3058,30
airquality.csv,5,0.0002,0.062,68.7011,32,3068,30
airquality.csv,5,0.0005,0.062,69.0322,31,3077,30
airquality.csv,5,0.001,0.064,69.7589,30,3078,30
airquality.csv,5,0.002,0.062,79.8744,24,3064,30
airquality.csv,5,0.003,0.065,82.7584,23,3056,30
airquality.csv,5,0.004,0.063,96.7406,19,3037,30
airquality.csv,5,0.005,0.062,114.976,15,2989,30
airquality.csv,5,0.006,0.062,127.458,13,2949,30
airquality.csv,5,0.007,0.063,127.458,13,2906,30
airquality.csv,5,0.008,0.062,127.458,13,2901,30
airquality.csv,5,0.009000000000000001,0.061,136.378,12,2879,30
airquality.csv,5,0.01,0.061,136.378,12,2844,30
airquality.csv,5,0.035,0.055,247.501,6,2277,30
