dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
sync.csv,2,0.0001,0.004,0.006949238687298209,4,0,30
sync.csv,2,0.0002,0.004,0.006949238687298209,4,0,30
sync.csv,2,0.0005,0.004,0.006949238687298209,4,0,30
sync.csv,2,0.001,0.004,0.006949238687298209,4,0,30
sync.csv,2,0.002,0.004,0.006949238687298209,4,0,30
sync.csv,2,0.003,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.004,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.005,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.006,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.007,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.008,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.009000000000000001,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.01,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.035,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.060000000000000005,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.085,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.1,0.004,0.007023192209785473,3,0,30
sync.csv,2,0.2,0.003,0.007023192209785473,3,0,30
sync.csv,2,0.5,-2,-1,-1,-1,30
sync.csv,3,0.0001,0.02,0.0022256778341392396,8,0,30
sync.csv,3,0.0002,0.02,0.0022256778341392396,8,0,30
sync.csv,3,0.0005,0.019,0.0022256778341392396,8,0,30
sync.csv,3,0.001,0.013,0.002253995824983265,7,0,30
sync.csv,3,0.002,0.013,0.002253995824983265,7,0,30
sync.csv,3,0.003,0.013,0.0023279493474705295,6,0,30
sync.csv,3,0.004,0.012,0.0024511776725453954,5,0,30
sync.csv,3,0.005,0.012,0.0025889524625592095,4,0,30
sync.csv,3,0.006,0.011,0.0025889524625592095,4,0,30
sync.csv,3,0.007,0.012,0.0025889524625592095,4,0,30
sync.csv,3,0.008,0.011,0.0025889524625592095,4,0,30
sync.csv,3,0.009000000000000001,0.011,0.0025889524625592095,4,0,30
sync.csv,3,0.01,0.012,0.0025889524625592095,4,0,30
sync.csv,3,0.035,0.01,0.0025889524625592095,4,0,30
sync.csv,3,0.060000000000000005,0.008,0.0025889524625592095,4,0,30
sync.csv,3,0.085,0.007,0.0025889524625592095,4,0,30
sync.csv,3,0.1,0.007,0.0025889524625592095,4,0,30
sync.csv,3,0.2,0.003,0.007023192209785473,3,0,30
sync.csv,3,0.5,-2,-1,-1,-1,30
sync.csv,4,0.0001,0.053,0.0017902848868559611,15,0,30
sync.csv,4,0.0002,0.053,0.0017959763062454339,14,0,30
sync.csv,4,0.0005,0.052,0.0017959763062454339,14,0,30
sync.csv,4,0.001,0.037,0.0018133857012375462,13,0,30
sync.csv,4,0.002,0.035,0.0019381412360053064,10,0,30
sync.csv,4,0.003,0.034,0.002087942471708611,8,0,30
