dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
servo.csv,2,0.0001,0.0,1.61101,4,1,30
servo.csv,2,0.0002,0.001,1.61101,4,1,30
servo.csv,2,0.0005,0.001,1.61101,4,1,30
servo.csv,2,0.001,0.001,1.61101,4,1,30
servo.csv,2,0.002,0.001,1.61101,4,1,30
servo.csv,2,0.003,0.001,1.61101,4,1,30
servo.csv,2,0.004,0.001,1.61101,4,1,30
servo.csv,2,0.005,0.001,1.61101,4,1,30
servo.csv,2,0.006,0.0,1.61101,4,1,30
servo.csv,2,0.007,0.0,1.61101,4,1,30
servo.csv,2,0.008,0.0,1.62622,3,1,30
servo.csv,2,0.009000000000000001,0.0,1.62622,3,1,30
servo.csv,2,0.01,0.001,1.62622,3,1,30
servo.csv,2,0.035,0.0,1.62622,3,1,30
servo.csv,2,0.060000000000000005,0.0,1.62622,3,1,30
servo.csv,2,0.085,0.0,1.62622,3,1,30
servo.csv,2,0.1,0.0,1.62622,3,1,30
servo.csv,2,0.2,0.001,2.4179,1,1,30
servo.csv,2,0.5,0.0,2.4179,1,1,30
servo.csv,3,0.0001,0.0,0.960256,8,30,30
servo.csv,3,0.0002,0.001,0.960256,8,30,30
servo.csv,3,0.0005,0.001,0.960256,8,30,30
servo.csv,3,0.001,0.001,0.960256,8,30,30
servo.csv,3,0.002,0.001,0.960256,8,30,30
servo.csv,3,0.003,0.001,0.967148,5,30,30
servo.csv,3,0.004,0.001,0.967148,5,30,30
servo.csv,3,0.005,0.001,0.967148,5,30,30
servo.csv,3,0.006,0.001,0.967148,5,30,30
servo.csv,3,0.007,0.001,0.967148,5,30,30
servo.csv,3,0.008,0.001,0.982357,4,30,30
servo.csv,3,0.009000000000000001,0.001,0.982357,4,30,30
servo.csv,3,0.01,0.001,0.982357,4,30,30
servo.csv,3,0.035,0.001,0.982357,4,30,30
servo.csv,3,0.060000000000000005,0.001,0.982357,4,30,30
servo.csv,3,0.085,0.001,0.982357,4,30,30
servo.csv,3,0.1,0.001,0.982357,4,30,30
servo.csv,3,0.2,0.001,2.4179,1,30,30
servo.csv,3,0.5,0.001,2.4179,1,30,30
servo.csv,4,0.0001,0.008,0.705548,16,393,30
servo.csv,4,0.0002,0.008,0.705548,16,393,30
servo.csv,4,0.0005,0.008,0.705548,16,393,30
servo.csv,4,0.001,0.008,0.705548,16,393,30
servo.csv,4,0.002,0.008,0.705548,16,393,30
servo.csv,4,0.003,0.008,0.719213,6,393,30
servo.csv,4,0.004,0.008,0.719213,6,393,30
servo.csv,4,0.005,0.008,0.719213,6,393,30
servo.csv,4,0.006,0.007,0.719213,6,393,30
servo.csv,4,0.007,0.008,0.719213,6,393,30
servo.csv,4,0.008,0.008,0.734423,5,393,30
servo.csv,4,0.009000000000000001,0.008,0.734423,5,393,30
servo.csv,4,0.01,0.008,0.734423,5,393,30
servo.csv,4,0.035,0.008,0.734423,5,393,30
servo.csv,4,0.060000000000000005,0.007,0.734423,5,393,30
servo.csv,4,0.085,0.008,0.734423,5,393,30
servo.csv,4,0.1,0.009,0.734423,5,393,30
servo.csv,4,0.2,0.008,2.4179,1,393,30
servo.csv,4,0.5,0.008,2.4179,1,393,30
servo.csv,5,0.0001,0.052,0.533102,30,2931,30
servo.csv,5,0.0002,0.053,0.533102,30,2931,30
servo.csv,5,0.0005,0.053,0.533102,30,2931,30
servo.csv,5,0.001,0.052,0.533102,30,2931,30
servo.csv,5,0.002,0.052,0.543903,17,2931,30
servo.csv,5,0.003,0.053,0.555744,8,2931,30
servo.csv,5,0.004,0.053,0.555744,8,2931,30
servo.csv,5,0.005,0.053,0.555744,8,2931,30
servo.csv,5,0.006,0.053,0.555744,8,2931,30
servo.csv,5,0.007,0.053,0.555744,8,2931,30
servo.csv,5,0.008,0.053,0.570954,7,2931,30
servo.csv,5,0.009000000000000001,0.053,0.570954,7,2931,30
servo.csv,5,0.01,0.053,0.570954,7,2931,30
servo.csv,5,0.035,0.054,0.604637,6,2931,30
servo.csv,5,0.060000000000000005,0.053,0.734423,5,2959,30
servo.csv,5,0.085,0.054,0.734423,5,2959,30
servo.csv,5,0.1,0.053,0.734423,5,2959,30
servo.csv,5,0.2,0.053,2.4179,1,2931,30
servo.csv,5,0.5,0.053,2.4179,1,2931,30
