dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
optical.csv,2,0.0001,0.001,40147.4,3,1,30
optical.csv,2,0.0002,0.001,40147.4,3,1,30
optical.csv,2,0.0005,0.0,40147.4,3,1,30
optical.csv,2,0.001,0.0,40147.4,3,1,30
optical.csv,2,0.002,0.0,40147.4,3,1,30
optical.csv,2,0.003,0.001,40147.4,3,1,30
optical.csv,2,0.004,0.0,40147.4,3,1,30
optical.csv,2,0.005,0.0,40147.4,3,1,30
optical.csv,2,0.006,0.001,40147.4,3,1,30
optical.csv,2,0.007,0.0,40147.4,3,1,30
optical.csv,2,0.008,0.001,40147.4,3,1,30
optical.csv,2,0.009000000000000001,0.001,40147.4,3,1,30
optical.csv,2,0.01,0.0,40147.4,3,1,30
optical.csv,2,0.035,0.0,40147.4,3,1,30
optical.csv,2,0.060000000000000005,0.001,40147.4,3,1,30
optical.csv,2,0.085,0.001,40147.4,3,1,30
optical.csv,2,0.1,0.001,50000.2,1,1,30
optical.csv,2,0.2,0.0,50000.2,1,1,30
optical.csv,2,0.5,0.001,50000.2,1,1,30
optical.csv,3,0.0001,0.004,29640.7,4,58,30
optical.csv,3,0.0002,0.004,29640.7,4,58,30
optical.csv,3,0.0005,0.004,29640.7,4,58,30
optical.csv,3,0.001,0.004,29640.7,4,58,30
optical.csv,3,0.002,0.004,29640.7,4,58,30
optical.csv,3,0.003,0.004,29640.7,4,58,30
optical.csv,3,0.004,0.004,29640.7,4,58,30
optical.csv,3,0.005,0.003,29640.7,4,58,30
optical.csv,3,0.006,0.004,29640.7,4,58,30
optical.csv,3,0.007,0.004,29640.7,4,58,30
optical.csv,3,0.008,0.004,29640.7,4,58,30
optical.csv,3,0.009000000000000001,0.004,29640.7,4,58,30
optical.csv,3,0.01,0.004,29640.7,4,58,30
optical.csv,3,0.035,0.004,29640.7,4,58,30
optical.csv,3,0.060000000000000005,0.004,29640.7,4,58,30
optical.csv,3,0.085,0.004,29640.7,4,58,30
optical.csv,3,0.1,0.004,29640.7,4,58,30
optical.csv,3,0.2,0.004,50000.2,1,58,30
