dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
enb-heat.csv,2,0.0001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.0002,0.0,11.5106,4,1,30
enb-heat.csv,2,0.0005,0.0,11.5106,4,1,30
enb-heat.csv,2,0.001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.002,0.0,11.5106,4,1,30
enb-heat.csv,2,0.003,0.0,11.5106,4,1,30
enb-heat.csv,2,0.004,0.001,11.5106,4,1,30
enb-heat.csv,2,0.005,0.0,11.5106,4,1,30
enb-heat.csv,2,0.006,0.001,11.5106,4,1,30
enb-heat.csv,2,0.007,0.001,11.5106,4,1,30
enb-heat.csv,2,0.008,0.0,11.5106,4,1,30
enb-heat.csv,2,0.009000000000000001,0.001,11.5106,4,1,30
enb-heat.csv,2,0.01,0.001,11.5106,4,1,30
enb-heat.csv,2,0.035,0.0,12.6567,3,1,30
enb-heat.csv,2,0.060000000000000005,0.0,12.6567,3,1,30
enb-heat.csv,2,0.085,0.0,21.2422,2,1,30
enb-heat.csv,2,0.1,0.0,21.2422,2,1,30
enb-heat.csv,2,0.2,0.001,21.2422,2,1,30
enb-heat.csv,2,0.5,0.001,21.2422,2,1,30
enb-heat.csv,3,0.0001,0.004,6.82951,8,52,30
enb-heat.csv,3,0.0002,0.005,6.82951,8,52,30
enb-heat.csv,3,0.0005,0.004,6.82951,8,52,30
enb-heat.csv,3,0.001,0.005,6.82951,8,52,30
enb-heat.csv,3,0.002,0.005,6.82951,8,52,30
enb-heat.csv,3,0.003,0.005,7.04624,7,52,30
enb-heat.csv,3,0.004,0.005,7.04624,7,52,30
enb-heat.csv,3,0.005,0.004,7.04624,7,52,30
enb-heat.csv,3,0.006,0.005,7.04624,7,52,30
enb-heat.csv,3,0.007,0.004,7.04624,7,52,30
enb-heat.csv,3,0.008,0.004,7.04624,7,52,30
enb-heat.csv,3,0.009000000000000001,0.005,7.9397,6,52,30
enb-heat.csv,3,0.01,0.004,7.9397,6,52,30
enb-heat.csv,3,0.035,0.005,12.6567,3,52,30
enb-heat.csv,3,0.060000000000000005,0.005,12.6567,3,50,30
enb-heat.csv,3,0.085,0.004,21.2422,2,50,30
enb-heat.csv,3,0.1,0.004,21.2422,2,50,30
enb-heat.csv,3,0.2,0.004,21.2422,2,50,30
enb-heat.csv,3,0.5,0.004,21.2422,2,50,30
enb-heat.csv,4,0.0001,0.063,3.81924,15,1162,30
enb-heat.csv,4,0.0002,0.063,3.81924,15,1162,30
enb-heat.csv,4,0.0005,0.063,3.81924,15,1162,30
enb-heat.csv,4,0.001,0.064,3.81924,15,1168,30
enb-heat.csv,4,0.002,0.063,4.1041,13,1170,30
enb-heat.csv,4,0.003,0.063,4.51817,11,1173,30
enb-heat.csv,4,0.004,0.062,4.89109,10,1138,30
enb-heat.csv,4,0.005,0.062,5.31637,9,1142,30
enb-heat.csv,4,0.006,0.063,5.31637,9,1149,30
enb-heat.csv,4,0.007,0.064,5.92892,8,1154,30
enb-heat.csv,4,0.008,0.064,5.92892,8,1158,30
enb-heat.csv,4,0.009000000000000001,0.063,6.82238,7,1160,30
enb-heat.csv,4,0.01,0.064,6.82238,7,1157,30
enb-heat.csv,4,0.035,0.058,12.6567,3,989,30
enb-heat.csv,4,0.060000000000000005,0.054,12.6567,3,886,30
enb-heat.csv,4,0.085,0.051,21.2422,2,812,30
enb-heat.csv,4,0.1,0.048,21.2422,2,753,30
enb-heat.csv,4,0.2,0.04,21.2422,2,570,30
enb-heat.csv,4,0.5,0.014,21.2422,2,0,30
enb-heat.csv,5,0.0001,0.649,1.15142,24,14839,30
enb-heat.csv,5,0.0002,0.654,1.16586,23,14905,30
enb-heat.csv,5,0.0005,0.656,1.16586,23,15190,30
enb-heat.csv,5,0.001,0.678,1.30171,21,15510,30
enb-heat.csv,5,0.002,0.684,2.15921,15,15603,30
enb-heat.csv,5,0.003,0.691,2.15921,15,15597,30
enb-heat.csv,5,0.004,0.692,3.33361,12,15137,30
enb-heat.csv,5,0.005,0.678,3.7589,11,14942,30
enb-heat.csv,5,0.006,0.674,4.28316,10,14789,30
enb-heat.csv,5,0.007,0.68,4.89771,9,14692,30
enb-heat.csv,5,0.008,0.675,4.89771,9,14571,30
enb-heat.csv,5,0.009000000000000001,0.671,5.79117,8,14266,30
enb-heat.csv,5,0.01,0.659,5.79117,8,13860,30
enb-heat.csv,5,0.035,0.521,12.6567,3,9866,30
enb-heat.csv,5,0.060000000000000005,0.369,12.6567,3,5849,30
enb-heat.csv,5,0.085,0.294,21.2422,2,4153,30
enb-heat.csv,5,0.1,0.262,21.2422,2,3791,30
enb-heat.csv,5,0.2,0.128,21.2422,2,659,30
enb-heat.csv,5,0.5,0.013,21.2422,2,0,30
enb-heat.csv,6,0.0001,5.275,0.322786,33,135416,30
enb-heat.csv,6,0.0002,5.285,0.36649,30,136149,30
enb-heat.csv,6,0.0005,5.578,0.50116,27,140923,30
enb-heat.csv,6,0.001,5.679,0.784143,23,142349,30
enb-heat.csv,6,0.002,5.647,1.81441,16,138280,30
enb-heat.csv,6,0.003,5.623,1.81441,16,133818,30
enb-heat.csv,6,0.004,5.522,3.32975,12,126366,30
enb-heat.csv,6,0.005,5.354,3.67812,11,123109,30
enb-heat.csv,6,0.006,5.345,4.28316,10,120259,30
enb-heat.csv,6,0.007,5.288,4.89771,9,118089,30
enb-heat.csv,6,0.008,5.222,5.79117,8,115151,30
enb-heat.csv,6,0.009000000000000001,5.114,5.79117,8,111115,30
enb-heat.csv,6,0.01,5.019,5.79117,8,106614,30
enb-heat.csv,6,0.035,2.775,12.6567,3,41630,30
enb-heat.csv,6,0.060000000000000005,1.411,12.6567,3,14912,30
enb-heat.csv,6,0.085,0.742,21.2422,2,1524,30
enb-heat.csv,6,0.1,0.614,21.2422,2,0,30
enb-heat.csv,6,0.2,0.189,21.2422,2,0,30
enb-heat.csv,6,0.5,0.014,21.2422,2,0,30
enb-heat.csv,7,0.0001,31,-1,-1,-1,30
enb-heat.csv,7,0.0002,31,-1,-1,-1,30
enb-heat.csv,7,0.0005,31,-1,-1,-1,30
enb-heat.csv,7,0.001,31,-1,-1,-1,30
enb-heat.csv,7,0.002,31,-1,-1,-1,30
enb-heat.csv,7,0.003,31,-1,-1,-1,30
enb-heat.csv,7,0.004,31,-1,-1,-1,30
enb-heat.csv,7,0.005,31,-1,-1,-1,30
enb-heat.csv,7,0.006,31,-1,-1,-1,30
enb-heat.csv,7,0.007,31,-1,-1,-1,30
enb-heat.csv,7,0.008,31,-1,-1,-1,30
enb-heat.csv,7,0.009000000000000001,31,-1,-1,-1,30
enb-heat.csv,7,0.01,31,-1,-1,-1,30
enb-heat.csv,7,0.035,8.062,12.6567,3,44394,30
enb-heat.csv,7,0.060000000000000005,2.803,12.6567,3,0,30
enb-heat.csv,7,0.085,0.823,21.2422,2,0,30
enb-heat.csv,7,0.1,0.621,21.2422,2,0,30
enb-heat.csv,7,0.2,0.194,21.2422,2,0,30
enb-heat.csv,7,0.5,0.014,21.2422,2,0,30
enb-heat.csv,8,0.0001,31,-1,-1,-1,30
enb-heat.csv,8,0.0002,31,-1,-1,-1,30
enb-heat.csv,8,0.0005,31,-1,-1,-1,30
enb-heat.csv,8,0.001,31,-1,-1,-1,30
enb-heat.csv,8,0.002,31,-1,-1,-1,30
enb-heat.csv,8,0.003,31,-1,-1,-1,30
enb-heat.csv,8,0.004,31,-1,-1,-1,30
enb-heat.csv,8,0.005,31,-1,-1,-1,30
enb-heat.csv,8,0.006,31,-1,-1,-1,30
enb-heat.csv,8,0.007,31,-1,-1,-1,30
enb-heat.csv,8,0.008,31,-1,-1,-1,30
enb-heat.csv,8,0.009000000000000001,31,-1,-1,-1,30
enb-heat.csv,8,0.01,31,-1,-1,-1,30
enb-heat.csv,8,0.035,12.285,12.6567,3,1761,30
enb-heat.csv,8,0.060000000000000005,2.837,12.6567,3,0,30
enb-heat.csv,8,0.085,0.824,21.2422,2,0,30
enb-heat.csv,8,0.1,0.621,21.2422,2,0,30
enb-heat.csv,8,0.2,0.193,21.2422,2,0,30
