dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
real-estate.csv,2,0.0001,0.0,96.8458,4,1,30
real-estate.csv,2,0.0002,0.0,96.8458,4,1,30
real-estate.csv,2,0.0005,0.0,96.8458,4,1,30
real-estate.csv,2,0.001,0.0,96.8458,4,1,30
real-estate.csv,2,0.002,0.0,96.8458,4,1,30
real-estate.csv,2,0.003,0.0,96.8458,4,1,30
real-estate.csv,2,0.004,0.0,96.8458,4,1,30
real-estate.csv,2,0.005,0.0,96.8458,4,1,30
real-estate.csv,2,0.006,0.0,96.8458,4,1,30
real-estate.csv,2,0.007,0.0,96.8458,4,1,30
real-estate.csv,2,0.008,0.0,96.8458,4,1,30
real-estate.csv,2,0.009000000000000001,0.0,96.8458,4,1,30
real-estate.csv,2,0.01,0.0,96.8458,4,1,30
real-estate.csv,2,0.035,0.0,96.8458,4,1,30
real-estate.csv,2,0.060000000000000005,0.0,96.8458,4,1,30
real-estate.csv,2,0.085,0.0,108.029,3,1,30
real-estate.csv,2,0.1,0.0,108.029,3,1,30
real-estate.csv,2,0.2,0.0,142.925,2,1,30
real-estate.csv,2,0.5,0.0,184.689,1,1,30
real-estate.csv,3,0.0001,0.002,78.8948,8,36,30
real-estate.csv,3,0.0002,0.001,78.8948,8,36,30
real-estate.csv,3,0.0005,0.002,78.8948,8,36,30
real-estate.csv,3,0.001,0.001,78.8948,8,36,30
real-estate.csv,3,0.002,0.001,78.8948,8,36,30
real-estate.csv,3,0.003,0.001,78.8948,8,36,30
real-estate.csv,3,0.004,0.002,78.8948,8,36,30
real-estate.csv,3,0.005,0.001,78.8948,8,36,30
real-estate.csv,3,0.006,0.001,78.8948,8,36,30
real-estate.csv,3,0.007,0.001,78.8948,8,36,30
real-estate.csv,3,0.008,0.001,78.8948,8,36,30
real-estate.csv,3,0.009000000000000001,0.001,78.8948,8,36,30
real-estate.csv,3,0.01,0.001,78.8948,8,36,30
real-estate.csv,3,0.035,0.001,89.1063,5,36,30
real-estate.csv,3,0.060000000000000005,0.002,96.8458,4,36,30
real-estate.csv,3,0.085,0.002,108.029,3,36,30
real-estate.csv,3,0.1,0.002,108.029,3,36,30
